student_id,lrn,surname,first_name,middle_name,birth_date,birth_place,gender,nationality,religion,father_name,mother_name,address
1,,Palacio,Martin,Dalhin,2014-01-19,Manila,M,Filipino,Roman Catholic,"Palacio,Víctor Elías",Analiza Dalhin Palacio,"Block 4 Lot 2 Phase 2 Area 3 50 Pampano St., Caloocan City"
2,,De los Santos,Maria Clara,Alba,2014-10-22,Laguna,F,Filipino,Roman Catholic,"De Los Santos, Santíago San Diego ","De Los Santos, Pia, Alba",San Diego Laguna
3,408028189661,Paca,Julia,Pi,2012-12-10,Batangas,F,Filipino,Christian,"Paca,Silvio Barroso","Pi,Evangelina, Alcalde","47 Atlas Road San Bartolome, Novaliches,Quezon City"
4,,Miralles,Aurora ,Fuente,2013-12-03,Caloocan,F,Filipino,Roman Catholic,"Miralles,Yago Soriano","Fuente,Lola, Infante","11/F Strata 100 Building Emerald Avenue Ortigas Center San Antonio 1600,Pasig City"
5,408028216677,Asensio,Jessica,Río,2015-10-19,Manila,F,Filipino,Roman Catholic,"Asensio,Narciso Arco","Rio,Trinidad, Figuerola","6/F One Corporate Plaza, 845 A. Arnaiz Avenue,Makati City"
6,408028179554,Atienza,Isaac,Prieto,2013-10-20,Quezon City,M,Filipino,Christian,"Atienza,Antonio Amador","Prieto,Fernanda, Pedrero","11/F Strata 100 Building Emerald Avenue Ortigas Center San Antonio 1600,Pasig City"
7,,Abad,Marisa,Gomila,2013-01-08,Malabon,F,Filipino,Roman Catholic,"Abad,Francisco Prat","Gomila,Tere, Evita","390 Calamba St., San Antonio,Makati City"
8,408028206246,Bellido,Safa,Corral,2014-11-28,Navotas,F,Filipino,Islam,"Bellido,Juan Bautista","Corral,Olivia, Mateo","1575 F T Benitez 1000,Manila City"
9,408028198663,Camino,Salwa,Cueto,2013-06-29,Pasig,F,Filipino,Islam,"Camino,Francisco Raya","Cueto,Adora, Galiano","1767 G. Santiago Street, Santa Cruz,Manila City"
10,,De Viana,Natalia,Carnero,2015-01-30,Cavite,F,Filipino,Roman Catholic,"De Viana,Victor Seco","Carnero,Violeta, Bravo"," 3/Flr Rm. 355 Ramagi Building, 1081 Pedro Gil Street, Paco, Manila City"
11,408028172783,Bayona,Abdul,Lopez,2012-11-07,Valenzuela,M,Filipino,Islam,"Bayona,Ernesto Espada","Lopez,Carmela, Pastor","2nd Floor Paulina Building, 162 M. Almeda Street, San Roque,Pateros"
12,,Olmedo,Edgardo,Arjona,2011-02-28,Batangas,M,Filipino,Roman Catholic,"Olmedo,Jose Manuel","Arjona,Rebeca, Chaves","865 A. Mabini Street,San Juan"
13,408028179595,Patiño,Mohammad,Villa,2012-03-15,Caloocan,M,Filipino,Islam,"Patiño,Juan Carlos","Villa,Anabel, Pino","517 Evangelista Corner Macabulos Streets 1000, Quezon City"
14,408028188855,Marcos,Hasim,Luna,2012-09-05,Quezon City,M,Filipino,Islam,"Marcos,Jaime Garrido","Luna,Elena, Badia","Ground Floor CCh Building, 136 L.P. Leviste Street, Salcedo Village,Makati City"
15,,Bernad,Lilia,Nieto,2014-07-30,Pasig,F,Filipino,Roman Catholic,"Bernad,Cristian Cordero","Nieto,Amanda, Benito","Upper Level Valle Verde Country Club Capt. H. Javier Street,Quezon City"
16,408028171605,Talavera,Jafar,Valderrama,2012-02-16,Navotas,M,Filipino,Islam,"Talavera,Octavio Morillo","Valderrama,Dionisia, Vidal","2101 Adriatico 1000,Malabon City"
17,408028189857,Medina,Viviana,Caro,2013-04-23,Laguna,F,Filipino,Roman Catholic,"Medina,Maximino Palomares","Caro,Delfina, Ledesma","Sarmiento Building 2 1200, Malabon City"
18,,Olmo,Haneef,Reyes,2015-02-23,Cavite,M,Filipino,Islam,"Olmo,Cristian Salvador ","Reyes,Antonia, Pascual ","Horace-Homer Building, Solana Street,Quezon City"
19,408028192285,Gomis,Alicia,Leonor,2013-07-19,Valenzuela,F,Filipino,Roman Catholic,"Gomis,Mauricio Roca","Leonor,Jimena, Esteban","Quezon Avenue corner Cordillera Street,Quezon City"
20,,Selorio,Kevin,Reyes,2013-04-21,Manila,M,Filipino,Roman Catholic,"Selorio, Resty Padilla","Selorio, Sarah, Reyes","979 Kundiman Street, Sampaloc 1009 MANILA"
21,408028203311,Balacania,Mark Anthony,Manansala,2014-12-21,Bulacan,M,Filipino,Iglesia ni Cristo,"Balacania, Estacio Mendez","Balacania, Maria, Manansala","123 2nd Street Brgy. 111 6th Avenue East 1403 Caloocan City, Metro Manila"
22,,Delos Santos,Trisha,Monte,2013-11-01,Caloocan,F,Filipino,Roman Catholic,"Delos Santos, Gilbert Cruz","Delos Santos, Teresa, Monte","Unit 123 Bldg, ABC No,1 Liwasang Bonifacio 1000 Manila Philippines"
23,408028183278,Reyes,Mary Joy,Mazo,2012-08-21,Quezon City,F,Filipino,Christian,"Reyes, Reymark Garcia","Reyes, Lucia, Mazo","106 Tandang Sora Ave. cor .  Casanova Drive, Quezon City"
24,408028194441,Dela Cruz,Vincent,Beltran,2013-06-21,Rizal,M,Filipino,Roman Catholic,"Dela Cruz, Juan Galvez","Dela Cruz, Erlinda, Beltran","1417 Severino Reyes St, Sta. Cruz, Manila"
25,408028194242,Cruz,Alyssa,David,2014-03-27,Cavite,F,Filipino,Iglesia ni Cristo,"Cruz, Robert Miranda","Cruz, Jenny, David","1111 Natividad Lopez St., Ermita, Manila Philippines"
26,,Balingit,Sheena,Lopez,2013-05-27,Bulacan,F,Filipino,Roman Catholic,"Balingit, Florencio Sison","Balingit, Gemma, Lopez","Tandang Sora Ave. Tandang Sora, Quezon City"
27,408028171212,Ocampo,Irish,Garcia,2011-09-20,San Juan City,F,Filipino,Christian,"Ocampo, Richard Serrano","Ocampo, Josephine, Garcia","San Antonio St. , San Juan, Metro Manila "
28,,Jimenez,Precious,Ramos,2015-04-18,Pasig,F,Filipino,Iglesia ni Cristo,"Jimenez, Jonathan Rivera","Jimenez, Lolita, Ramos","174 Ermin Garcia St., Cubao, Quezon City"
29,,Valdez,Joshua,Perez,2013-10-11,Laguna,M,Filipino,Roman Catholic,"Valdez, Andres Lazatin","Valdez, Marcela, Perez","541 F.Cayco St. Sampaloc, Manila"
